Year,Fevers U5,Attendance U5 Public,Attendance U5 Private,Attendance O5 Private,Tested U5 Public,Tested U5 Private,Untested Received AM Public,Tested Negative Received AM Public,TPR,Incidence Rate,Infection Prevalence,Mortality Rate
2010,141939362.9,35665439.95813,72240475.97812,98148340.97641,2834856.9121700004,2683779.12623,24607789.47737,1003238.87927,1.0331694885378002,378.450871222762,34.114658459293004,138.69574064419302
2011,148102652.5,37557124.57672,74085353.34319,105397075.19816,5215155.41475,4294720.30253,24180417.67363,1845328.96396,1.014474277999226,355.06525085892696,31.242032856082204,127.763318004965
2012,151816837.0,38747869.67691,74953925.84092,111341032.71741,6747007.34772,5042399.08935,24254213.28648,2395783.22733,0.9912151473017042,349.990604850385,30.7331697595738,118.888002096981
2013,157873853.4,41260085.05869,75693538.50642,116235833.20428,8412815.79328,5552932.87751,24836791.15788,2778471.39649,0.9686938798000531,348.064639050776,30.795565125831796,112.473821866855
2014,160769220.2,41196504.49239,77017693.90101,120282206.71224,9709208.98394,6130551.415349999,23935237.57422,2909382.06261,0.9506468336203471,331.92581452661,28.5436917175852,108.456374273948
2015,166726597.6,42222135.03898,79004072.78881,124498677.49594,11306035.93819,6742736.39442,23582067.73439,3034042.40512,0.9412745595258598,298.337167090028,24.243281922159397,102.375043809062
2016,167332296.0,40472303.05515,79424589.49023,124747165.05416,12315440.17545,7332746.98043,21156839.56585,2891513.77656,0.9359530513860459,271.53544831924495,21.4331610564721,95.0587285800224
2017,163377969.3,39568255.87113,76691554.74182,118864020.49908,13304208.12508,7443668.421949999,20160321.38447,2755933.90283,0.9425878856754373,272.98955972565096,21.5785149610866,91.8136553618899
2018,158814864.6,38472974.34173,73698136.09128,113426591.95548,14185314.54829,7496192.22569,19053298.03885,2621633.3338,0.9464721832597542,305.78077597008803,25.0767437923698,96.487851921297
2019,153479897.9,37319861.35859,70795177.97972,107512901.81905,14690056.45502,7304789.34051,17865163.77973,2404634.28075,0.9513164749648931,341.030954503936,29.706058316390997,98.5514375401148
2020,147004329.3,35834753.707,66771078.5992,96473653.79659,14770555.2919,6812390.269160001,16700165.06984,2187046.10308,0.9667809688245913,344.383925414715,30.3246826649758,102.482641266278
2021,149247839.7,36325430.21334,67727249.22523,97855169.20538,14964867.03803,6896222.62654,16945562.709310003,2214548.88528,0.9667039962514001,312.36099959051,26.4001651083185,98.0093215506074
2022,151636781.1,36849758.28428,68747464.02955,99329218.32807,15172820.3084,6986175.75539,17207127.76117,2244035.89684,0.9666267864640111,283.540085483852,23.4891647919951,92.2178308415318
2023,154124816.1,37396330.43136,69810550.82118,100865210.69547,15389698.52263,7080063.48204,17479574.73651,2274806.47516,0.9665493383212609,278.180079495182,23.9316593013735,88.4845039410317
2024,156665595.7,37953806.17071,70895410.22254,102432661.04224,15610822.63124,7175724.161119999,17757628.486309998,2306167.10058,0.9664716506734511,278.865617192141,24.138096304206,87.73344649603729
